,team_id,team_name,team_link,team_abbreviation,team_teamName,team_locationName,team_firstYearOfPlay,team_shortName,team_officialSiteUrl,team_franchiseId,team_active,team_venue.name,team_venue.link,team_venue.city,team_venue.timeZone.id,team_venue.timeZone.offset,team_venue.timeZone.tz,team_division.id,team_division.name,team_division.nameShort,team_division.link,team_division.abbreviation,team_conference.id,team_conference.name,team_conference.link,team_franchise.franchiseId,team_franchise.teamName,team_franchise.link,team_roster.link,team_venue.id
0,1,New Jersey Devils,/api/v1/teams/1,NJD,Devils,New Jersey,1982,New Jersey,http://www.newjerseydevils.com/,23,True,Prudential Center,/api/v1/venues/null,Newark,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,23,Devils,/api/v1/franchises/23,/api/v1/teams/1/roster,
1,2,New York Islanders,/api/v1/teams/2,NYI,Islanders,New York,1972,NY Islanders,http://www.newyorkislanders.com/,22,True,UBS Arena,/api/v1/venues/null,Elmont,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,22,Islanders,/api/v1/franchises/22,/api/v1/teams/2/roster,
2,3,New York Rangers,/api/v1/teams/3,NYR,Rangers,New York,1926,NY Rangers,http://www.newyorkrangers.com/,10,True,Madison Square Garden,/api/v1/venues/5054,New York,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,10,Rangers,/api/v1/franchises/10,/api/v1/teams/3/roster,5054.0
3,4,Philadelphia Flyers,/api/v1/teams/4,PHI,Flyers,Philadelphia,1967,Philadelphia,http://www.philadelphiaflyers.com/,16,True,Wells Fargo Center,/api/v1/venues/5096,Philadelphia,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,16,Flyers,/api/v1/franchises/16,/api/v1/teams/4/roster,5096.0
4,5,Pittsburgh Penguins,/api/v1/teams/5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,True,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,America/New_York,-5,EST,18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,17,Penguins,/api/v1/franchises/17,/api/v1/teams/5/roster,5034.0
5,6,Boston Bruins,/api/v1/teams/6,BOS,Bruins,Boston,1924,Boston,http://www.bostonbruins.com/,6,True,TD Garden,/api/v1/venues/5085,Boston,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,6,Bruins,/api/v1/franchises/6,/api/v1/teams/6/roster,5085.0
6,7,Buffalo Sabres,/api/v1/teams/7,BUF,Sabres,Buffalo,1970,Buffalo,http://www.sabres.com/,19,True,KeyBank Center,/api/v1/venues/5039,Buffalo,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,19,Sabres,/api/v1/franchises/19,/api/v1/teams/7/roster,5039.0
7,8,Montréal Canadiens,/api/v1/teams/8,MTL,Canadiens,Montréal,1909,Montréal,http://www.canadiens.com/,1,True,Bell Centre,/api/v1/venues/5028,Montréal,America/Montreal,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,1,Canadiens,/api/v1/franchises/1,/api/v1/teams/8/roster,5028.0
8,9,Ottawa Senators,/api/v1/teams/9,OTT,Senators,Ottawa,1990,Ottawa,http://www.ottawasenators.com/,30,True,Canadian Tire Centre,/api/v1/venues/5031,Ottawa,America/New_York,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,30,Senators,/api/v1/franchises/30,/api/v1/teams/9/roster,5031.0
9,10,Toronto Maple Leafs,/api/v1/teams/10,TOR,Maple Leafs,Toronto,1917,Toronto,http://www.mapleleafs.com/,5,True,Scotiabank Arena,/api/v1/venues/null,Toronto,America/Toronto,-5,EST,17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,5,Maple Leafs,/api/v1/franchises/5,/api/v1/teams/10/roster,
